key,key:manager,code,title,abstractText,hasFatalErrors,cost,link,isDraft
project-01,manager-01,ABC-0001,"Website Redesign","Redesign the company website",false,"EUR 20.00",https://acme.example/projects/proj-001,true
project-02,manager-01,ABC-0002,"Mobile App Development","Develop a mobile application for iOS and Android platforms",false,"USD 1500.00",https://acme.example/projects/proj-002,false
project-03,manager-01,ABC-0003,"Marketing Campaign","Launch a comprehensive marketing campaign to increase brand visibility",false,"USD 800.00",https://acme.example/projects/proj-003,true
project-04,manager-01,ABC-0004,"Product Enhancement","Enhance the existing product features based on user feedback",false,"EUR 1200.00",https://acme.example/projects/proj-004,true
project-05,manager-01,ABC-0005,"Infrastructure Upgrade","Upgrade the company's IT infrastructure to improve performance",false,"USD 2000.00",https://acme.example/projects/proj-005,true
project-06,manager-01,ABC-0006,"ABC","A valid title within length",false,"EUR 0.01",https://a.co,true
project-07,manager-01,ABC-0007,"This is a title that is exactly seventy-five characters long for validation", "A valid abstract text with a length exactly one hundred characters long for validation purposes",false,"USD 9999999.99",https://a-really-long-domain-name.example.com/path/to/resource,true
project-08,manager-01,ABC-0008,"Intermediate Title Length for Testing","Intermediate abstract text length for validation purposes",false,"USD 5000000.00",https://example.com/shortlink,true
project-09,manager-01,ABC-0009,"M","M",false,"EUR 0.01",http://s,true
project-10,manager-01,ABC-0010,"Título con caracteres Unicode","Texto con caracteres Unicode para la prueba",false,"EUR 5000000.00",,true
project-11,manager-01,ABC-0011,"<h1>Valid HTML</h1>","<script>alert('Valid script');</script>",false,"USD 1000000.00",http://valid-html.example,true
project-12,manager-01,ABC-0012,"Valid Title Within Length","Valid abstract text within length",true,"EUR 0.01",https://short.co,true
project-13,manager-01,ABC-0013,"Intermediate Title","Intermediate abstract text length for validation purposes",false,"EUR 5000.00",https://intermediate-link.example.com/path,true
project-14,manager-01,ABC-0014,"A very long title that reaches the max seventy-five characters","An abstract that is long and reaches the max one hundred characters for validation purposes",false,"USD 9999999.99",https://a-very-long-link-example.com/with-a-very-long-path,true
project-15,manager-01,ABC-0015,"Min	","Min",false,"EUR 0.01",http://m.co,true
project-16,manager-01,ABC-0016,"Mid Length Title","Mid length abstract text for validation purposes",false,"USD 1000.00",,true
project-17,manager-02,ABC-0017,"Valid Title with Unicode 文字","Valid abstract with Unicode characters for validation",false,"EUR 500000.00",https://unicode.example.com/路径,true
project-18,manager-01,ABC-0018,"국민경제의 발전을","العظمى واعتلاء",false,"USD 1000.00",,true